date,region_name,value
2025-10-06,San Salvador,5596
2025-10-06,Santa Ana,4182
2025-10-06,San Miguel,3383
2025-10-06,La Libertad,3213
2025-10-06,Sonsonate,2646
2025-10-06,Usulután,2563
2025-10-06,La Paz,2230
2025-10-06,Cuscatlán,1911
2025-10-06,Ahuachapán,2154
2025-10-06,Chalatenango,1814
2025-10-06,Morazán,1560
2025-10-06,San Vicente,1874
2025-10-06,La Unión,1787
2025-10-06,Cabañas,1586
2025-10-07,San Salvador,5896
2025-10-07,Santa Ana,4291
2025-10-07,San Miguel,3795
2025-10-07,La Libertad,3834
2025-10-07,Sonsonate,2795
2025-10-07,Usulután,2453
2025-10-07,La Paz,2288
2025-10-07,Cuscatlán,2199
2025-10-07,Ahuachapán,2213
2025-10-07,Chalatenango,1889
2025-10-07,Morazán,1780
2025-10-07,San Vicente,1986
2025-10-07,La Unión,1815
2025-10-07,Cabañas,1643
2025-10-08,San Salvador,6000
2025-10-08,Santa Ana,4610
2025-10-08,San Miguel,3861
2025-10-08,La Libertad,3826
2025-10-08,Sonsonate,3008
2025-10-08,Usulután,2610
2025-10-08,La Paz,2444
2025-10-08,Cuscatlán,2184
2025-10-08,Ahuachapán,2356
2025-10-08,Chalatenango,2024
2025-10-08,Morazán,1772
2025-10-08,San Vicente,1968
2025-10-08,La Unión,1793
2025-10-08,Cabañas,1670
2025-10-09,San Salvador,6017
2025-10-09,Santa Ana,4492
2025-10-09,San Miguel,3651
2025-10-09,La Libertad,3556
2025-10-09,Sonsonate,2915
2025-10-09,Usulután,2537
2025-10-09,La Paz,2381
2025-10-09,Cuscatlán,2142
2025-10-09,Ahuachapán,2189
2025-10-09,Chalatenango,2005
2025-10-09,Morazán,1834
2025-10-09,San Vicente,1956
2025-10-09,La Unión,1930
2025-10-09,Cabañas,1597
2025-10-10,San Salvador,5808
2025-10-10,Santa Ana,4382
2025-10-10,San Miguel,3833
2025-10-10,La Libertad,3511
2025-10-10,Sonsonate,3089
2025-10-10,Usulután,2584
2025-10-10,La Paz,2409
2025-10-10,Cuscatlán,2074
2025-10-10,Ahuachapán,2405
2025-10-10,Chalatenango,2042
2025-10-10,Morazán,1742
2025-10-10,San Vicente,2154
2025-10-10,La Unión,1893
2025-10-10,Cabañas,1634
2025-10-11,San Salvador,5886
2025-10-11,Santa Ana,4210
2025-10-11,San Miguel,3731
2025-10-11,La Libertad,4004
2025-10-11,Sonsonate,3103
2025-10-11,Usulután,2905
2025-10-11,La Paz,2425
2025-10-11,Cuscatlán,2309
2025-10-11,Ahuachapán,2163
2025-10-11,Chalatenango,1954
2025-10-11,Morazán,1828
2025-10-11,San Vicente,1949
2025-10-11,La Unión,1813
2025-10-11,Cabañas,1757
2025-10-12,San Salvador,5655
2025-10-12,Santa Ana,3944
2025-10-12,San Miguel,3530
2025-10-12,La Libertad,3483
2025-10-12,Sonsonate,2543
2025-10-12,Usulután,2753
2025-10-12,La Paz,2272
2025-10-12,Cuscatlán,1953
2025-10-12,Ahuachapán,2334
2025-10-12,Chalatenango,1884
2025-10-12,Morazán,1572
2025-10-12,San Vicente,1968
2025-10-12,La Unión,1895
2025-10-12,Cabañas,1527
2025-10-13,San Salvador,6219
2025-10-13,Santa Ana,4003
2025-10-13,San Miguel,3986
2025-10-13,La Libertad,3508
2025-10-13,Sonsonate,2695
2025-10-13,Usulután,2473
2025-10-13,La Paz,2326
2025-10-13,Cuscatlán,2077
2025-10-13,Ahuachapán,2066
2025-10-13,Chalatenango,1792
2025-10-13,Morazán,1636
2025-10-13,San Vicente,1928
2025-10-13,La Unión,1736
2025-10-13,Cabañas,1630
2025-10-14,San Salvador,6947
2025-10-14,Santa Ana,4396
2025-10-14,San Miguel,4360
2025-10-14,La Libertad,3821
2025-10-14,Sonsonate,2941
2025-10-14,Usulután,2725
2025-10-14,La Paz,2798
2025-10-14,Cuscatlán,2170
2025-10-14,Ahuachapán,2360
2025-10-14,Chalatenango,2205
2025-10-14,Morazán,1829
2025-10-14,San Vicente,2234
2025-10-14,La Unión,2003
2025-10-14,Cabañas,1751
2025-10-15,San Salvador,6171
2025-10-15,Santa Ana,4581
2025-10-15,San Miguel,3820
2025-10-15,La Libertad,4012
2025-10-15,Sonsonate,2935
2025-10-15,Usulután,2875
2025-10-15,La Paz,2473
2025-10-15,Cuscatlán,2239
2025-10-15,Ahuachapán,2430
