date,region_name,value
2025-10-06,San Salvador,0
2025-10-06,Santa Ana,0
2025-10-06,San Miguel,1.1
2025-10-06,La Libertad,0
2025-10-06,Sonsonate,0.7
2025-10-06,Usulután,0.3
2025-10-06,La Paz,2.1
2025-10-06,Cuscatlán,1.3
2025-10-06,Ahuachapán,0
2025-10-06,Chalatenango,0.6
2025-10-06,Morazán,0
2025-10-06,San Vicente,0.4
2025-10-06,La Unión,0
2025-10-06,Cabañas,2.7
2025-10-07,San Salvador,0
2025-10-07,Santa Ana,0.6
2025-10-07,San Miguel,0.4
2025-10-07,La Libertad,0
2025-10-07,Sonsonate,0.8
2025-10-07,Usulután,0
2025-10-07,La Paz,0.4
2025-10-07,Cuscatlán,0.5
2025-10-07,Ahuachapán,0
2025-10-07,Chalatenango,0
2025-10-07,Morazán,1.1
2025-10-07,San Vicente,1.6
2025-10-07,La Unión,0.9
2025-10-07,Cabañas,1.8
2025-10-08,San Salvador,0
2025-10-08,Santa Ana,0.7
2025-10-08,San Miguel,0
2025-10-08,La Libertad,0.6
2025-10-08,Sonsonate,3.1
2025-10-08,Usulután,1.4
2025-10-08,La Paz,1.6
2025-10-08,Cuscatlán,0
2025-10-08,Ahuachapán,0
2025-10-08,Chalatenango,4.8
2025-10-08,Morazán,1.3
2025-10-08,San Vicente,0
2025-10-08,La Unión,1
2025-10-08,Cabañas,0.6
2025-10-09,San Salvador,3.5
2025-10-09,Santa Ana,0.8
2025-10-09,San Miguel,0
2025-10-09,La Libertad,0.7
2025-10-09,Sonsonate,1.1
2025-10-09,Usulután,0.5
2025-10-09,La Paz,1.8
2025-10-09,Cuscatlán,0.6
2025-10-09,Ahuachapán,1.2
2025-10-09,Chalatenango,3
2025-10-09,Morazán,1.4
2025-10-09,San Vicente,0
2025-10-09,La Unión,1.2
2025-10-09,Cabañas,0
2025-10-10,San Salvador,2.1
2025-10-10,Santa Ana,2.7
2025-10-10,San Miguel,0
2025-10-10,La Libertad,4.3
2025-10-10,Sonsonate,7
2025-10-10,Usulután,0
2025-10-10,La Paz,2
2025-10-10,Cuscatlán,0.7
2025-10-10,Ahuachapán,0
2025-10-10,Chalatenango,0
2025-10-10,Morazán,0
2025-10-10,San Vicente,2.3
2025-10-10,La Unión,0.4
2025-10-10,Cabañas,2.6
2025-10-11,San Salvador,2.3
2025-10-11,Santa Ana,5.3
2025-10-11,San Miguel,0.6
2025-10-11,La Libertad,0.8
2025-10-11,Sonsonate,1.2
2025-10-11,Usulután,0
2025-10-11,La Paz,2.1
2025-10-11,Cuscatlán,2.4
2025-10-11,Ahuachapán,4.8
2025-10-11,Chalatenango,3.5
2025-10-11,Morazán,1.7
2025-10-11,San Vicente,0
2025-10-11,La Unión,0
2025-10-11,Cabañas,5
2025-10-12,San Salvador,4.3
2025-10-12,Santa Ana,3.1
2025-10-12,San Miguel,2
2025-10-12,La Libertad,0.8
2025-10-12,Sonsonate,4.3
2025-10-12,Usulután,0.6
2025-10-12,La Paz,0
2025-10-12,Cuscatlán,0.8
2025-10-12,Ahuachapán,5
2025-10-12,Chalatenango,0
2025-10-12,Morazán,0.5
