date,region_name,value
2025-09-16,San Salvador,135245
2025-09-16,La Libertad,92358
2025-09-16,Santa Ana,103567
2025-09-16,San Miguel,95234
2025-09-16,Sonsonate,78956
2025-09-16,La Paz,58234
2025-09-16,Usulután,56789
2025-09-16,Chalatenango,52456
2025-09-16,Cuscatlán,59234
2025-09-16,Ahuachapán,63456
2025-09-16,Morazán,48567
2025-09-16,La Unión,68234
2025-09-16,San Vicente,55678
2025-09-16,Cabañas,47890
2025-09-17,San Salvador,128456
2025-09-17,La Libertad,88234
2025-09-17,Santa Ana,98567
2025-09-17,San Miguel,91234
2025-09-17,Sonsonate,75234
2025-09-17,La Paz,55678
2025-09-17,Usulután,54321
2025-09-17,Chalatenango,49876
2025-09-17,Cuscatlán,56789
2025-09-17,Ahuachapán,60234
2025-09-17,Morazán,46234
2025-09-17,La Unión,65432
2025-09-17,San Vicente,53456
2025-09-17,Cabañas,45678
2025-09-18,San Salvador,142567
2025-09-18,La Libertad,96234
2025-09-18,Santa Ana,107890
2025-09-18,San Miguel,99456
2025-09-18,Sonsonate,82345
2025-09-18,La Paz,61234
2025-09-18,Usulután,59456
2025-09-18,Chalatenango,54567
2025-09-18,Cuscatlán,61890
2025-09-18,Ahuachapán,66234
2025-09-18,Morazán,50678
2025-09-18,La Unión,71234
2025-09-18,San Vicente,58234
2025-09-18,Cabañas,49567
2025-09-19,San Salvador,138234
2025-09-19,La Libertad,93567
2025-09-19,Santa Ana,105234
2025-09-19,San Miguel,96789
2025-09-19,Sonsonate,80123
2025-09-19,La Paz,59567
2025-09-19,Usulután,57890
2025-09-19,Chalatenango,53123
2025-09-19,Cuscatlán,60234
2025-09-19,Ahuachapán,64567
2025-09-19,Morazán,49234
2025-09-19,La Unión,69567
2025-09-19,San Vicente,56890
2025-09-19,Cabañas,48234
2025-09-20,San Salvador,145678
2025-09-20,La Libertad,98567
2025-09-20,Santa Ana,110234
2025-09-20,San Miguel,101567
2025-09-20,Sonsonate,84567
2025-09-20,La Paz,62890
2025-09-20,Usulután,60789
2025-09-20,Chalatenango,55890
2025-09-20,Cuscatlán,63234
2025-09-20,Ahuachapán,67890
2025-09-20,Morazán,51890
2025-09-20,La Unión,72890
2025-09-20,San Vicente,59567
2025-09-20,Cabañas,50890
2025-09-21,San Salvador,132456
2025-09-21,La Libertad,89567
2025-09-21,Santa Ana,100234
2025-09-21,San Miguel,92890
2025-09-21,Sonsonate,76890
2025-09-21,La Paz,57234
2025-09-21,Usulután,55456
2025-09-21,Chalatenango,51234
2025-09-21,Cuscatlán,58567
2025-09-21,Ahuachapán,61890
2025-09-21,Morazán,47890
2025-09-21,La Unión,66890
2025-09-21,San Vicente,54890
2025-09-21,Cabañas,46890
2025-09-22,San Salvador,127890
2025-09-22,La Libertad,86234
2025-09-22,Santa Ana,96890
2025-09-22,San Miguel,89567
2025-09-22,Sonsonate,73567
2025-09-22,La Paz,54890
2025-09-22,Usulután,53123
2025-09-22,Chalatenango,48890
2025-09-22,Cuscatlán,56234
2025-09-22,Ahuachapán,59567
2025-09-22,Morazán,45567
2025-09-22,La Unión,64234
2025-09-22,San Vicente,52567
2025-09-22,Cabañas,44567
2025-09-23,San Salvador,140567
2025-09-23,La Libertad,95234
2025-09-23,Santa Ana,106567
2025-09-23,San Miguel,98234
2025-09-23,Sonsonate,81567
2025-09-23,La Paz,60567
2025-09-23,Usulután,58890
2025-09-23,Chalatenango,54123
2025-09-23,Cuscatlán,61567
2025-09-23,Ahuachapán,65890
2025-09-23,Morazán,50234
2025-09-23,La Unión,70567
2025-09-23,San Vicente,57890
2025-09-23,Cabañas,49234
2025-09-24,San Salvador,136890
2025-09-24,La Libertad,92890
2025-09-24,Santa Ana,104123
2025-09-24,San Miguel,95890
2025-09-24,Sonsonate,79567
2025-09-24,La Paz,59123
2025-09-24,Usulután,57234
2025-09-24,Chalatenango,52890
2025-09-24,Cuscatlán,59890
2025-09-24,Ahuachapán,64123
2025-09-24,Morazán,48890
2025-09-24,La Unión,68890
2025-09-24,San Vicente,56456
2025-09-24,Cabañas,47890
2025-09-25,San Salvador,143890
2025-09-25,La Libertad,97234
2025-09-25,Santa Ana,108890
2025-09-25,San Miguel,100234
2025-09-25,Sonsonate,83234
2025-09-25,La Paz,61890
2025-09-25,Usulután,60123
2025-09-25,Chalatenango,55456
2025-09-25,Cuscatlán,62567
2025-09-25,Ahuachapán,67234
2025-09-25,Morazán,51456
2025-09-25,La Unión,72234
2025-09-25,San Vicente,59123
2025-09-25,Cabañas,50456
2025-09-26,San Salvador,139234
2025-09-26,La Libertad,94123
2025-09-26,Santa Ana,105890
2025-09-26,San Miguel,97456
2025-09-26,Sonsonate,80890
2025-09-26,La Paz,60123
2025-09-26,Usulután,58456
2025-09-26,Chalatenango,53890
2025-09-26,Cuscatlán,60890
2025-09-26,Ahuachapán,65456
2025-09-26,Morazán,49890
2025-09-26,La Unión,70123
2025-09-26,San Vicente,57456
2025-09-26,Cabañas,48890
2025-09-27,San Salvador,146234
2025-09-27,La Libertad,99123
2025-09-27,Santa Ana,111234
